1000,evil biscuit,open bid
1001,evil biscuit,one bid
1002,evil biscuit,named price
1003,evil biscuit,secret bid
1004,evil biscuit,secret bid
1005,evil biscuit,combo
1006,evil biscuit,open bid
1007,evil biscuit,secret bid
1008,evil biscuit,named price
1009,evil biscuit,one bid
1010,evil biscuit,combo
1011,evil biscuit,open bid
1012,evil biscuit,one bid
1013,evil biscuit,secret bid
1014,evil biscuit,combo
1015,evil biscuit,named price
1016,evil biscuit,open bid
1017,supermetal bosch,one bid
1018,supermetal bosch,secret bid
1019,supermetal bosch,combo
1020,supermetal bosch,one bid
1021,supermetal bosch,open bid
1022,supermetal bosch,secret bid
1023,supermetal bosch,named price
1024,supermetal bosch,secret bid
1025,supermetal bosch,one bid
1026,supermetal bosch,secret bid
1027,supermetal bosch,open bid
1028,supermetal bosch,named price
1029,supermetal bosch,secret bid
1030,supermetal bosch,one bid
1031,supermetal bosch,open bid
1032,supermetal bosch,named price
1033,mifella,one bid
1034,mifella,secret bid
1035,mifella,named price
1036,mifella,open bid
1037,mifella,combo
1038,mifella,one bid
1039,mifella,secret bid
1040,mifella,combo
1041,mifella,named price
1042,mifella,open bid
1043,mifella,one bid
1044,mifella,named price
1045,mifella,secret bid
1046,mifella,named price
1047,parker ito,combo
1048,parker ito,open bid
1049,parker ito,one bid
1050,parker ito,secret bid
1051,parker ito,open bid
1052,parker ito,one bid
1053,parker ito,one bid
1054,parker ito,open bid
1055,parker ito,one bid
1056,parker ito,named price
1057,parker ito,combo
1058,parker ito,secret bid
1059,parker ito,open bid
1060,parker ito,one bid
1061,parker ito,secret bid
1062,tojiba,open bid
1063,tojiba,named price
1064,tojiba,open bid
1065,tojiba,one bid
1066,tojiba,secret bid
1067,tojiba,named price
1068,tojiba,combo
1069,tojiba,open bid
1070,tojiba,one bid
1071,tojiba,open bid
1072,tojiba,secret bid
1073,tojiba,named price
1074,tojiba,secret bid
